id,indeks_sentence_token,selisih_depth,jarak_keyword_lokasi_undir,jarak_keyword_lokasi_dir,is_connect_to_key,part
longsor_0005,"(0, 1)",2.0,2.0,2.0,True,train
longsor_0005,"(0, 2)",3.0,3.0,3.0,True,train
longsor_0005,"(0, 5)",1.0,1.0,1.0,True,train
longsor_0005,"(0, 6)",2.0,2.0,2.0,True,train
longsor_0005,"(0, 7)",2.0,2.0,2.0,True,train
longsor_0005,"(1, 6)",2.0,8.0,1000000000.0,False,train
longsor_0005,"(1, 7)",3.0,9.0,1000000000.0,False,train
longsor_0005,"(1, 15)",2.0,8.0,1000000000.0,False,train
longsor_0005,"(1, 17)",3.0,9.0,1000000000.0,False,train
longsor_0005,"(1, 18)",3.0,9.0,1000000000.0,False,train
longsor_0005,"(1, 19)",4.0,10.0,1000000000.0,False,train
longsor_0005,"(1, 21)",1.0,7.0,1000000000.0,False,train
longsor_0005,"(1, 23)",2.0,8.0,1000000000.0,False,train
longsor_0005,"(1, 24)",3.0,9.0,1000000000.0,False,train
longsor_0005,"(1, 25)",4.0,10.0,1000000000.0,False,train
longsor_0005,"(1, 46)",1.0,5.0,1000000000.0,False,train
longsor_0005,"(1, 47)",2.0,6.0,1000000000.0,False,train
longsor_0005,"(1, 48)",3.0,7.0,1000000000.0,False,train
longsor_0005,"(1, 50)",0.0,4.0,1000000000.0,False,train
longsor_0005,"(1, 51)",1.0,5.0,1000000000.0,False,train
longsor_0005,"(1, 52)",2.0,6.0,1000000000.0,False,train
longsor_0005,"(1, 53)",3.0,7.0,1000000000.0,False,train
longsor_0005,"(1, 55)",1.0,5.0,1000000000.0,False,train
longsor_0005,"(1, 56)",2.0,6.0,1000000000.0,False,train
longsor_0005,"(2, 3)",0.0,4.0,1000000000.0,False,train
longsor_0005,"(3, 20)",1000000000.0,1000000000.0,1000000000.0,False,train
longsor_0005,"(3, 21)",1000000000.0,1000000000.0,1000000000.0,False,train
longsor_0005,"(3, 25)",1000000000.0,1000000000.0,1000000000.0,False,train
longsor_0005,"(4, 4)",3.0,7.0,1000000000.0,False,train
longsor_0005,"(4, 5)",2.0,8.0,1000000000.0,False,train
longsor_0005,"(4, 6)",1.0,9.0,1000000000.0,False,train
longsor_0005,"(4, 9)",3.0,7.0,1000000000.0,False,train
longsor_0007,"(0, 2)",1.0,1.0,1.0,True,train
longsor_0007,"(1, 5)",2.0,4.0,1000000000.0,False,train
longsor_0007,"(1, 6)",1.0,5.0,1000000000.0,False,train
longsor_0007,"(1, 7)",0.0,6.0,1000000000.0,False,train
longsor_0007,"(1, 9)",1.0,5.0,1000000000.0,False,train
longsor_0007,"(1, 10)",0.0,6.0,1000000000.0,False,train
longsor_0007,"(1, 12)",0.0,6.0,1000000000.0,False,train
longsor_0007,"(1, 13)",1.0,7.0,1000000000.0,False,train
longsor_0007,"(5, 9)",0.0,3.0,1000000000.0,False,train
longsor_0007,"(5, 27)",0.0,3.0,1000000000.0,False,train
longsor_0009,"(0, 2)",1000000000.0,1000000000.0,1000000000.0,False,train
longsor_0009,"(1, 5)",3.0,3.0,3.0,True,train
longsor_0009,"(1, 6)",4.0,4.0,4.0,True,train
longsor_0009,"(2, 4)",0.0,3.0,1000000000.0,False,train
longsor_0009,"(2, 5)",1.0,4.0,1000000000.0,False,train
longsor_0009,"(3, 3)",1.0,7.0,1000000000.0,False,train
longsor_0009,"(7, 24)",4.0,8.0,1000000000.0,False,train
longsor_0009,"(7, 25)",3.0,9.0,1000000000.0,False,train
longsor_0009,"(7, 26)",2.0,10.0,1000000000.0,False,train
longsor_0011,"(1, 2)",0.0,4.0,1000000000.0,False,train
longsor_0011,"(1, 3)",1.0,5.0,1000000000.0,False,train
longsor_0011,"(4, 20)",5.0,9.0,1000000000.0,False,train
longsor_0011,"(4, 21)",6.0,10.0,1000000000.0,False,train
longsor_0011,"(9, 6)",1.0,5.0,1000000000.0,False,train
longsor_0011,"(9, 7)",0.0,6.0,1000000000.0,False,train
longsor_0013,"(0, 2)",0.0,2.0,1000000000.0,False,train
longsor_0013,"(1, 3)",3.0,9.0,1000000000.0,False,train
longsor_0013,"(1, 4)",2.0,10.0,1000000000.0,False,train
longsor_0013,"(1, 5)",1.0,11.0,1000000000.0,False,train
longsor_0013,"(1, 25)",1.0,5.0,1000000000.0,False,train
longsor_0013,"(1, 26)",0.0,6.0,1000000000.0,False,train
longsor_0013,"(1, 27)",1.0,7.0,1000000000.0,False,train
longsor_0013,"(1, 29)",0.0,4.0,1000000000.0,False,train
longsor_0013,"(1, 30)",1.0,5.0,1000000000.0,False,train
longsor_0013,"(1, 31)",0.0,6.0,1000000000.0,False,train
